taskID,text_short,text_long,active,category,difficulty,minAge,maxAge,traits,materials,picture,length
task_0000001,Thank one of your closest friends over text!,"Take a moment to reflect on one of your closest friends—the person who's been there for you through thick and thin. Now, send them a thoughtful text message expressing your gratitude. Let them know how much their friendship means to you, recall a specific memory or moment you appreciated, and tell them the impact they've had on your life. A simple, heartfelt message can brighten their day and strengthen your bond.",TRUE,general,1,1,999,"[""Any""]","[""Nothing""]",No,daily
task_0000002,Leave a kind note for a family member or roommate!,"""Write a short, uplifting note for someone you live with—whether it's a parent, sibling, or roommate—and leave it somewhere they'll find it, like on their pillow, desk, or mirror. It could be a compliment, a thank-you, or just a reminder that you care about them. Even a few kind words can make someone’s day feel a little lighter.""",TRUE,general,1,1,999,"[""Any""]","[""Pencil/Pen"", ""Sticky note""]",Yes,daily
task_0000003,Compliment a stranger (genuinely and respectfully)!,"The next time you're out—at school, work, or even in line at a store—take a moment to give someone a sincere compliment. It could be about their outfit, smile, energy, or something kind they did. A genuine compliment can completely shift someone’s mood and remind them they’re seen and appreciated.",TRUE,general,2,1,999,"[""Extrovert""]","[""Nothing""]",No,daily
task_0000004,Pick up a few pieces of litter you see on the ground.,"Next time you're walking outside—whether it's around your neighborhood, a park, or a school campus—take a moment to pick up a few pieces of trash you notice on the ground. It’s a small action that helps the environment, shows care for your community, and might even inspire others to do the same.",TRUE,environmental,2,1,999,[Environmentalist],"[""Nothing""]",Yes,daily
task_0000005,Hold the door open for someone.,"When you see someone approaching a door, pause and hold it open for them. It’s a tiny gesture, but it can make someone feel respected and acknowledged—especially if their hands are full or they’re in a rush.",TRUE,general,1,1,999,"[""Any""]","[""Nothing""]",No,daily
task_0000006,Help a sibling with homework,"Offer to help a sibling or family member with their homework. Even if it's just sitting nearby or encouraging them, showing that you're there can make a big difference.",TRUE,general,2,6,999,"[""Any""]","[""Nothing""]",No,weekly
task_0000007,Make breakfast or lunch for your family,Surprise your family by making breakfast or lunch for everyone. It doesn’t need to be fancy — even a simple meal shows care and can brighten someone’s day.,TRUE,general,1,6,999,"[""Any""]","[""Food"", ""Utensils""]",Yes,weekly
task_0000008,Do a grocery run for your parents,"Ask your parents if there's anything you can grab for them during the week, and take initiative to help with a grocery run. It could be picking up a few items or helping carry in bags.",TRUE,general,2,16,30,"[""Any""]","[""Nothing""]",Yes,weekly
task_0000009,Help someone load groceries into their car,"The next time you’re in a parking lot or store, be on the lookout for someone who might need help loading their groceries into their car. Offer a quick, polite hand if the moment feels right.",TRUE,community,1,8,999,"[""Any""]","[""Nothing""]",No,weekly
task_0000010,Reach out to someone who looks down or lonely,"Take a moment this week to check in with someone who seems down, quiet, or alone. Whether it’s a kind message, a short chat, or just sitting with them, your care could mean a lot.",TRUE,emotional,2,8,999,"[""Any""]","[""Nothing""]",No,weekly
task_0000011,Write a letter to someone you appreciate.,Write a heartfelt letter to someone you appreciate. Tell them how theyâ€™ve impacted you or why you're thankful for them. It's a powerful way to encourage and connect.,TRUE,emotional,2,8,999,"[""Any""]","[""Paper"", ""Pen""]",No,monthly
task_0000012,Donate unused clothes or items.,Go through your closet and donate clothes or items you no longer use. Choose things in good condition that could benefit someone else.,TRUE,environmental,2,8,999,"[""Any""]","[""Bag"", ""Items to donate""]",Yes,monthly
task_0000013,Do a kind act for a stranger.,"Do a random act of kindness for a stranger â€” pay for someone behind you in line, leave a kind note on a car, or give out a compliment that could make someone's day.",TRUE,community,2,10,999,"[""Extrovert""]","[""Optional: Note, Gift""]",Yes,monthly
task_0000015,Create something and give it away.,"Make something by hand (art, food, a craft) and give it away with no expectation of anything in return. Use your creativity to serve others.",TRUE,general,2,8,999,"[""Artsy"", ""Craftsy"", ""Origami-maker"", ""Chef""]","[""Art supplies"", ""Ingredients"", etc.]",Yes,monthly
task_0000016,Help someone move or tackle a big task.,"Help someone move, carry large items, or do a big task theyâ€™ve been putting off. Offer your time and energy when a need like this comes up.",TRUE,general,3,10,999,"[""Athletic"", ""Extrovert""]","[""Nothing""]",Yes,monthly